Python  MAGIC           Python  MAGIC           Python  MAGIC
1.0     0x00999902      2.0     0x0A0DC687      3.0     0x0A0D0C3A
1.1     0x00999903      2.1     0x0A0DEB2A      3.1     0x0A0D0C4E
1.2     0x00999903      2.2     0x0A0DED2D      3.2     0x0A0D0C6C
1.3     0x0A0D2E89      2.3     0x0A0DF23B      3.3     0x0A0D0C9E
1.4     0x0A0D1704      2.4     0x0A0DF26D      3.4     0x0A0D0CEE
1.5     0x0A0D4E99      2.5     0x0A0DF2B3      3.5     0x0A0D0D16
1.6     0x0A0DC4FC      2.6     0x0A0DF2D1      3.5.3   0x0A0D0D17
                        2.7     0x0A0DF303      3.6     0x0A0D0D33
                                                3.7     0x0A0D0D42
                                                3.8     0x0A0D0D55
                                                3.9     0x0A0D0D61
                                                3.10    0x0A0D0D6F
                                                3.11    0x0A0D0DA7
                                                3.12    0x0A0D0DCB


                        1.0     1.1     1.2     1.3     1.4     1.5     1.6
<69>                    [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
PRINT_EXPR              [X]     [X]     [X]     [X]     [X]     [X]     [X]
PRINT_ITEM              [X]     [X]     [X]     [X]     [X]     [X]     [X]
PRINT_NEWLINE           [X]     [X]     [X]     [X]     [X]     [X]     [X]
<73>                    [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<74>                    [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<75>                    [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<76>                    [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<77>                    [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<78>                    [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<79>                    [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
BREAK_LOOP              [X]     [X]     [X]     [X]     [X]     [X]     [X]
RAISE_EXCEPTION         [X]     [X]     [X]     [ ]     [ ]     [ ]     [ ]
LOAD_LOCALS             [X]     [X]     [X]     [X]     [X]     [X]     [X]
RETURN_VALUE            [X]     [X]     [X]     [X]     [X]     [X]     [X]
LOAD_GLOBALS            [X]     [X]     [X]     [ ]     [ ]     [ ]     [ ]
EXEC_STMT               [X]     [X]     [X]     [X]     [X]     [X]     [X]
BUILD_FUNCTION          [X]     [X]     [X]     [ ]     [ ]     [ ]     [ ]
POP_BLOCK               [X]     [X]     [X]     [X]     [X]     [X]     [X]
END_FINALLY             [X]     [X]     [X]     [X]     [X]     [X]     [X]
BUILD_CLASS             [X]     [X]     [X]     [X]     [X]     [X]     [X]
STORE_NAME              [X]     [X]     [X]     [X]     [X]     [X]     [X]
DELETE_NAME             [X]     [X]     [X]     [X]     [X]     [X]     [X]
UNPACK_TUPLE            [X]     [X]     [X]     [X]     [X]     [X]     [X]
UNPACK_LIST             [X]     [X]     [X]     [X]     [X]     [X]     [X]
UNPACK_ARG              [X]     [X]     [X]     [X]     [X]     [ ]     [ ]
STORE_ATTR              [X]     [X]     [X]     [X]     [X]     [X]     [X]
DELETE_ATTR             [X]     [X]     [X]     [X]     [X]     [X]     [X]
STORE_GLOBAL            [X]     [X]     [X]     [X]     [X]     [X]     [X]
DELETE_GLOBAL           [X]     [X]     [X]     [X]     [X]     [X]     [X]
UNPACK_VARARG           [X]     [X]     [X]     [X]     [X]     [ ]     [ ]
LOAD_CONST              [X]     [X]     [X]     [X]     [X]     [X]     [X]
LOAD_NAME               [X]     [X]     [X]     [X]     [X]     [X]     [X]
BUILD_TUPLE             [X]     [X]     [X]     [X]     [X]     [X]     [X]
BUILD_LIST              [X]     [X]     [X]     [X]     [X]     [X]     [X]
BUILD_MAP               [X]     [X]     [X]     [X]     [X]     [X]     [X]
LOAD_ATTR               [X]     [X]     [X]     [X]     [X]     [X]     [X]
COMPARE_OP              [X]     [X]     [X]     [X]     [X]     [X]     [X]
IMPORT_NAME             [X]     [X]     [X]     [X]     [X]     [X]     [X]
IMPORT_FROM             [X]     [X]     [X]     [X]     [X]     [X]     [X]
ACCESS_MODE             [X]     [X]     [X]     [X]     [X]     [ ]     [ ]
JUMP_FORWARD            [X]     [X]     [X]     [X]     [X]     [X]     [X]
JUMP_IF_FALSE           [X]     [X]     [X]     [X]     [X]     [X]     [X]
JUMP_IF_TRUE            [X]     [X]     [X]     [X]     [X]     [X]     [X]
JUMP_ABSOLUTE           [X]     [X]     [X]     [X]     [X]     [X]     [X]
FOR_LOOP                [X]     [X]     [X]     [X]     [X]     [X]     [X]
LOAD_LOCAL              [X]     [X]     [X]     [X]     [X]     [ ]     [ ]
LOAD_GLOBAL             [X]     [X]     [X]     [X]     [X]     [X]     [X]
SET_FUNC_ARGS           [ ]     [X]     [X]     [X]     [X]     [ ]     [ ]
<118>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<119>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
SETUP_LOOP              [X]     [X]     [X]     [X]     [X]     [X]     [X]
SETUP_EXCEPT            [X]     [X]     [X]     [X]     [X]     [X]     [X]
SETUP_FINALLY           [X]     [X]     [X]     [X]     [X]     [X]     [X]
RESERVE_FAST            [X]     [X]     [X]     [ ]     [ ]     [ ]     [ ]
LOAD_FAST               [X]     [X]     [X]     [X]     [X]     [X]     [X]
STORE_FAST              [X]     [X]     [X]     [X]     [X]     [X]     [X]
DELETE_FAST             [X]     [X]     [X]     [X]     [X]     [X]     [X]
SET_LINENO              [X]     [X]     [X]     [X]     [X]     [X]     [X]
<128>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<129>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
RAISE_VARARGS           [ ]     [ ]     [ ]     [X]     [X]     [X]     [X]
CALL_FUNCTION           [ ]     [ ]     [ ]     [X]     [X]     [X]     [X]
MAKE_FUNCTION           [ ]     [ ]     [ ]     [X]     [X]     [X]     [X]
BUILD_SLICE             [ ]     [ ]     [ ]     [ ]     [X]     [X]     [X]
<134>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<135>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<136>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<137>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<138>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<139>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
CALL_FUNCTION_VAR       [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [X]
CALL_FUNCTION_KW        [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [X]
CALL_FUNCTION_VAR_KW    [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [X]
<143>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<144>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<145>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<146>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<147>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<148>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<149>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<150>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<151>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<152>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<153>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<154>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<155>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<156>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<157>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<158>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
<159>                   [ ]     [ ]     [ ]     [ ]     [ ]     [ ]     [ ]
  .
  .
  .


